"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"USA","A & K Designs, Inc.","8564 NE Alderwood Road","Portland","97220","Oregon","","Apparel","111","81","30","0","","95","FINISHED GOODS","A & K DESIGNS","Nike","AMERICAS"
"Vietnam","ACode Sporting Goods Co., Ltd.","No 32 VSIP II A Street 31","Bac Tan Uyen","822710","Bình Duong","","Equipment","347","274","73","0","","318","FINISHED GOODS","EXCELLENCE SPORTING GOODS","Nike","SE ASIA"
"Jordan","Ad Dulyal","Part of land no 1075 Basin 5 Ad Dulayl","Zarqa","11183","Az Zarqa","","Apparel","1303","1134","169","977","","1166","FINISHED GOODS","MAS HOLDINGS","Nike","EMEA"
"Vietnam","ADORA FOOTWEAR LIMITED","TAM DIEP INDUSTRY ZONE","Ninh Binh Province","430000","Ninh Bình","","Footwear","8120","6983","1137","0","","6800","FINISHED GOODS","HUALI","Converse","SE ASIA"
"India","AHP APPAREL PVT LTD., UNIT 60","207 ABDE F KIADB INDUSTRIAL AREA","HASSAN","573201","Karnataka","","Apparel","2704","2028","676","0","","906","FINISHED GOODS","SHAHI","Nike","S ASIA"
"India","AHP APPARELS PVT.LTD. UNIT 61","SY NO 34 35 37 A TO 37H","SHIKARIPURA, SHIVAMOGGA","577427","Karnataka","","Apparel","1573","1180","393","0","","861","FINISHED GOODS","SHAHI","Nike","S ASIA"
"Georgia","Ajara 1","Bobokvati Street 14 Bobokvati Village","Kobuleti","6200","Ajaria","","Apparel","1227","1178","49","0","","1153","FINISHED GOODS","MILTEKS","Nike","EMEA"
"Georgia","Ajara Textile Ltd","31 Motserelia Str","Poti","4400","Samegrelo-Zemo Sva","","Apparel","1394","1282","112","0","","1275","FINISHED GOODS","MILTEKS","Nike","EMEA"
"Vietnam","All Wells International Co., Ltd.","81 Road Toc Tien Commune Phu My Town","Phu My","790000","Bà Ra - Vung Tàu","","Footwear","2904","2352","552","0","","2137","FINISHED GOODS","SPORTS GEAR","Nike","SE ASIA"
"Turkey","Almaxtex Tekstil Sanayi ve Ticaret A.S.","Karapinar Mah Ankara Yolu Cad","Bursa","16580","Bursa","","Apparel","4026","2134","1892","0","","2568","FINISHED GOODS","YESIM","Nike","EMEA"
"China","ANHUI COSMO SPORTING GOODS COMPANY LIMITED","Economic Development Zone, Jinzhai County","Lu an","237321","Anhui","","Equipment","357","339","18","0","","320","FINISHED GOODS","ANHUI COSMO","Nike","N ASIA"
"Brazil","ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA","Rua Armindo Eltz, 51 - Quatro Colonias","Campo Bom RS","93700-000","Rio Grande do Sul","","Footwear","472","227","245","24","","80","FINISHED GOODS","ANIGER","Nike","AMERICAS"
"Nicaragua","Annic II S.A.","Las Palmeras Industrial Park","Masatepe","42600","Managua","","Apparel","4634","2641","1993","0","","4317","FINISHED GOODS","GILDAN","Nike","AMERICAS"
"Vietnam","Annora Vietnam  Footwear Co.,Ltd","Nghi Son Economic Zone, Xuan Lam Ward,  Nghi Son Township","Nghi Son Township","450000","Thanh Hóa","","Footwear","22025","19823","2202","0","","20012","FINISHED GOODS","HUALI","Nike","SE ASIA"
"Cambodia","Apple Apparel Cambodia Co Ltd","Phum Chumpou Voin","Phonm Penh","120911","Phnom Penh","","Apparel","1532","1210","322","0","","1391","FINISHED GOODS","RAMATEX","Nike","SE ASIA"
"USA","ArtFX Concord","244 Manor Ave SW","Concord","28025","North Carolina","","Apparel","116","57","59","14","","104","FINISHED GOODS","TEGRA","Nike","AMERICAS"
"USA","ARTFX INC","3801 E Princess Anne Rd","Norfolk","23502","Virginia","","Apparel","379","144","235","27","","359","FINISHED GOODS","TEGRA","Nike","AMERICAS"
"Moldova","Asena 4","LENIN STREET  243a","KONGAZ,COMRAT","3815","Gagauzia-- Unitate","","Apparel","723","701","22","0","","571","FINISHED GOODS","YESIM","Nike","EMEA"
"China","ASIATAN (CHINA)","93 TIANHE W ROAD BAI SHA VILLAGE","Jiangmen Guangdong","529000","Guangdong","","Footwear","322","167","155","0","","255","MATERIALS","ASIATAN","Nike","N ASIA"
"Japan","Atoms., Inc","156-4,DAIFUKU","SAKURAI","6330067","Nara","","Equipment","3","0","3","0","","1","FINISHED GOODS","ATOMS","Nike","N ASIA"
"Vietnam","AURORA VIETNAM INDUSTRIAL FOOTWEAR CO., LTD","Thien Huong Commune","Hai Phong","180000","Hai Phong","","Footwear","5946","4995","951","0","","5310","FINISHED GOODS","HUALI","Converse","SE ASIA"
"China","AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD","7 Guangyi Road Nansha District","Guangzhou","511458","Guangdong","","Apparel","2935","1644","1291","0","","1822","MATERIALS","AVERY DENNISON","Nike","N ASIA"
"China","Avery Dennison (Suzhou) Co.,Ltd ","No 56 Yangpu Road","Suzhou","215024","Jiangsu","","Apparel","855","419","436","0","","585","MATERIALS","AVERY DENNISON","Nike","N ASIA"
"Honduras","AVERY DENNISON RIS HONDURAS S DE R","ZIP BUFALO","Villanueva","504","Cortés","","Apparel","950","333","617","10","","800","FINISHED GOODS - COMPONENTS","AVERY DENNISON","Nike","AMERICAS"
"Italy","Avery Dennison RIS Italia S.r.l.","Strada Provinciale Bonifica 39 41","Ancarano","64010","Teramo","","Apparel","384","161","223","12","","241","FINISHED GOODS - COMPONENTS","AVERY DENNISON","Nike","EMEA"
"Vietnam","Avery Dennison RIS Vietnam Co. Ltd.","LOT E01 TRUNG TAM ROAD","Can Giuoc","850000","Long An","","Footwear","2779","1167","1612","0","","1983","MATERIALS","AVERY DENNISON","Nike","SE ASIA"
"Turkey","Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.","Gocerler Mahallesi Baskomutan Ataturk Caddesi","Tekirdag","59600","Tekirdag","","Apparel","542","276","266","0","","350","MATERIALS","AVERY DENNISON","Nike","EMEA"
"China","BAIKSAN (CHINA)","No 4 Industrial West Road","Dongguan","523950","Guangdong","","Footwear","160","48","112","0","","120","MATERIALS","BAIKSAN","Nike","N ASIA"
"South Korea","BAIKSAN (KOREA)","10 Noksansandan 382 ro","Busan","46757","Gyeongsangnamdo","","Footwear","57","0","57","0","","30","MATERIALS","BAIKSAN","Nike","N ASIA"
"Indonesia","BAIKSAN (TR1) (INDONESIA)","JL  BUMI MAS I NO 7 KAWASAN INDUSTRI DAN PERGUDANGAN","Tangerang Banten","15710","Banten","","Footwear","392","67","325","0","","340","MATERIALS","BAIKSAN","Nike","S ASIA"
"Vietnam","BAIKSAN (VIETNAM)","NO 50 ROAD 3 VSIP II HOA PHU PRECINCT","Binh Duong","840000","Bình Duong","","Footwear","343","38","305","0","","329","MATERIALS","BAIKSAN","Nike","SE ASIA"
"China","Beijing Our Clothing and Apparel Ltd","XiQu YiHao","BeiJing","100024","Beijing","","Apparel","5","0","5","0","","4","FINISHED GOODS","BEIJING CLOTHING","Nike","N ASIA"
"Cambodia","Berry Apparel Cambodia Co., Ltd.","Phum Chumpou Voin","Phnom Penh","12405","Phnom Penh","","Apparel","3217","2863","354","0","","2994","FINISHED GOODS","RAMATEX","Nike","SE ASIA"
"USA","Big Game Sports","13835 Welch Rd","Dallas","75244","Texas","","Apparel","68","24","44","0","","51","FINISHED GOODS","BIG GAME SPORTS","Nike","AMERICAS"
"Vietnam","TNG Investment and Trading JSC - Dai Tu","Tien Hoi commune Dai Tu District Thai Nguyen Province","Thai Nguyen","240000","Thái Nguyên","","Apparel","2148","1611","537","0","","1969","FINISHED GOODS","TNG","Nike","SE ASIA"
"USA","Blue Star Graphics","15825 Gateway Drive","Frisco","75033","Texas","","Apparel","45","29","16","0","","41","FINISHED GOODS","BLUE STAR","Nike","AMERICAS"
"Sri Lanka","Bodyline (Private) Limited BPL II","Kalawellawa Road","Agalawatta","12200","Kalutara","","Apparel","1911","1624","287","0","","1794","FINISHED GOODS","MAS HOLDINGS","Nike","S ASIA"
"Sri Lanka","Bodyline Private Limited III","Kalawellawa Road","Agalawatta","12200","Kalutara","","Apparel","1042","844","198","0","","991","FINISHED GOODS","MAS HOLDINGS","Nike","S ASIA"
"Sri Lanka","BODYLINE PVT LIMITED","RATNAPURA ROAD","HORANA","12400","Kalutara","","Apparel","5552","4608","944","0","","4782","FINISHED GOODS","MAS HOLDINGS","Nike","S ASIA"
"Vietnam","BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI","ROAD No 3 NHON TRACH 2 IZ NHON PHU","NHON TRACH","810000","Ðng Nai","","Apparel","1680","1344","336","0","","1400","FINISHED GOODS","ASIAN SOURCING HEADWEAR","Nike","SE ASIA"
"Vietnam","Branch of Thuan Phuong Embroideries Garments Co., Ltd- M.D.K Factory ","09 09A To Ky Str Trung My Tay Ward Dist 12","Ho Chi Minh City","70000","Ho Chi Minh","","Apparel","1055","760","295","0","","823","FINISHED GOODS","THUAN PHUONG","Nike","SE ASIA"
"Vietnam","Branch of Thuan Phuong Embroideries Garments Co.,Ltd - Binh Chanh Factory","D15 8 Dinh Duc Thien Street","Binh Chanh District","700000","Ho Chi Minh","","Apparel","1169","900","269","0","","1105","FINISHED GOODS","THUAN PHUONG","Nike","SE ASIA"
"Vietnam","Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory","Hamlet 3 Long Cang Commune Can Duoc Dist Long An Province","Can Duoc","850000","Long An","","Apparel","2327","1443","884","0","","2229","FINISHED GOODS","THUAN PHUONG","Nike","SE ASIA"
"Sri Lanka","Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa","449 New Kalmunai Road Aryampathy Batticaloa","Batticaloa","30000","Batticaloa","","Apparel","3144","2704","440","0","","2829","FINISHED GOODS","BRANDIX ASIA HOLDINGS","Nike","S ASIA"
"Sri Lanka","Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala","No 27, Export processing zone","Koggala","80630","Galle","","Apparel","1360","1142","218","0","","1190","FINISHED GOODS","BRANDIX ASIA HOLDINGS","Nike","S ASIA"
"India","BRANDIX APPL INDIA(P) LTD","Plot No 07  BIAC SEZ","India.","531011","Andhra Pradesh","","Apparel","3985","3626","359","0","","3517","FINISHED GOODS","BRANDIX ASIA HOLDINGS","Nike","S ASIA"
"USA","C&W Embroidery, Inc.","386 Hwy 356","Rienzi","38865","Mississippi","","Apparel","165","132","33","0","","125","FINISHED GOODS","C&W","Nike","AMERICAS"
"USA","C.C. Creations","1800 Shiloh Avenue","Bryan","77803","Texas","","Apparel","419","239","180","0","","378","FINISHED GOODS","CC CREATIONS","Nike","AMERICAS"
"Vietnam","CAN SPORTS VIETNAM CO., LTD","THUAN HOA HAMLET TRUONG MIT COMMUNE","DUONG MINH CHAU DISTRICT","730000","Tây Ninh","","Footwear","6380","4594","1786","0","","4883","FINISHED GOODS","SPORTS GEAR","Nike","SE ASIA"
"Thailand","Cassia Garment Company Limited","287 289 Suksawad 30 Suksawad Road Bangpakok","Rathjaburana","10140","Chon Buri","","Apparel","772","494","278","610","","724","FINISHED GOODS","RAMATEX","Nike","SE ASIA"
"Vietnam","CCH TOP VN CO., LTD.","Tan Thuan Road Tan Thuan Export Processing Zone Dist 7","HO CHI MINH","7000","Ho Chi Minh","","Apparel","1553","1320","233","0","","1469","FINISHED GOODS","CHUAN CHENG","Nike","SE ASIA"
"Vietnam","CHANG SHIN DONG NAI COMPANY LTD","LO IV II TAN PHU INDUSTRIAL ZONE","Dong Nai","76000","Ðng Nai","","Footwear","2826","2628","198","0","","2613","FINISHED GOODS","CHANGSHIN","Nike","SE ASIA"
"Indonesia","CHANG SHIN INDONESIA","JL DUSUN GINTUNGKOLOT","KARAWANG","41371","Jawa Barat","","Footwear","15656","14090","1566","0","","14259","FINISHED GOODS","CHANGSHIN","Nike","S ASIA"
"Vietnam","CHANG SHIN VIETNAM CO., LTD","Lot C Loc An Binh Son Industrial Zone","Long Thanh District","00061","Ðng Nai","","Footwear","5609","4992","617","0","","5369","FINISHED GOODS","CHANGSHIN","Nike","SE ASIA"
"Vietnam","CHANG SHIN VIETNAM COMPANY, LTD.","Thanh Phu Vinh Cuu Dong Nai","Dong Nai","76000","Ðng Nai","","Footwear","28751","22138","6613","0","","27305","FINISHED GOODS","CHANGSHIN","Nike","SE ASIA"
"China","Chang Tai Song Lin Woven Belt Co. LTD","Xin Tai Industrial Zone","Zhang Zhou","363900","Fujian","","Apparel","123","86","37","0","","112","MATERIALS","CHI YANG RIBBON","Nike","N ASIA"
"Taiwan","Chang Wong Industrial Co., Ltd.","No 139 Ln 92 Feng Nan St","Taichung City","420012","Taichung","","Equipment","31","9","22","10","","22","FINISHED GOODS","CHANG WONG INDUSTRIAL","Nike","N ASIA"
"South Korea","ChangShin Inc.","242, Jangpyeong-ro, Saha-gu, Busan, Korea","Busan","604-030","Busan Gwangyeogsi","","Footwear","998","519","479","0","","323","FINISHED GOODS","CHANGSHIN","Nike","N ASIA"
"China","Changzhou Qingqing Knitted Textile Co., Ltd.","80 Xingbiao North Rd  Zhiqian Town Jintan District","Changzhou","213234","Jiangsu","","Apparel","112","17","95","0","","100","MATERIALS","DECOR","Converse","N ASIA"
"Cambodia","Charmgo (Cambodia) Co. Ltd","Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey","Kampong Spey","05207","Kampong Spueu","","Apparel","1557","1105","452","16","","1526","FINISHED GOODS","CHARMGO","Nike","SE ASIA"
"Taiwan","Cheng Horng Industrial Co., Ltd.","No 230 Hongzun Road","Taoyuan","324","Taoyuan","","Apparel","111","24","87","54","","88","MATERIALS","LITTLE KING","Nike","N ASIA"
"Taiwan","CHI YANG RIBBON","NO219 Guan Hai BLVD Bali district","New Taipei","249","New Taipei","","Apparel","79","56","23","16","","41","MATERIALS","CHI YANG RIBBON","Nike","N ASIA"
"China","Chongqing Sumec Changjiang Garment Co.,Ltd","No.22-2 , Lianhe Road , Wanzhou District","Chongqing","404000","Chongqing","","Apparel","209","173","36","0","","193","FINISHED GOODS","SINOMACH SUMEC TEXTILE","Nike","N ASIA"
"Taiwan","CHUAN CHENG HAT CO., LTD.","No 56 Chung Shan Road","TAICHUNG","428","Taichung","","Apparel","121","104","17","19","","101","FINISHED GOODS","CHUAN CHENG","Nike","N ASIA"
"Taiwan","Chun Yu Ribbon ENT Co., Ltd.","No 557 Sec, 4 Zhangshui Rd, Pitou Township","Changhua","523","Changhua","","Apparel","139","99","40","35","","121","MATERIALS","CHI YANG RIBBON","Nike","N ASIA"
"China","Chuzhou Korrun Future Luggage Products Co., Ltd","1 Building  No 708 Huizhou North Road","Chuzhou","239000","Anhui","","Equipment","574","373","201","0","","462","FINISHED GOODS","FORMOSA","Nike","N ASIA"
"Brazil","COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.","AV JOSE G PINHEIRO 155 EDMILSON CORREIA","QUIXERAMOBIM","63800-000","Ceará","","Footwear","4905","2600","2305","0","","4867","FINISHED GOODS","ANIGER","Nike","AMERICAS"
"Vietnam","Colltex Garment Mfy Co., Ltd.(VN)","Lot 28 Road No7 Trang Bang Industrial Park","Trang Bang","843440","Tây Ninh","","Apparel","1933","1740","193","0","","1762","FINISHED GOODS","ECLAT","Nike","SE ASIA"
"Vietnam","CONG TIEN GARMENT JOINT STOCK COMPANY","27 Mac Van Thanh street, Ward 3","Go Cong","084","Tin Giang","","Apparel","1455","1237","218","0","","1289","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","Cong TY Tnhh May Mac Premier Global Vietnam","Lo C Duong so 1","Tinh Binh Duong","82000","Bình Duong","","Apparel","1186","806","380","0","","1086","FINISHED GOODS","NICE APPAREL","Nike","SE ASIA"
"Argentina","Cooperativa Textil Seuca Ltda.","Las Heras 513","Guaymallen","M5521","Mendoza","","Apparel","21","17","4","0","","17","FINISHED GOODS","COOPERATIVA TEXTIL SEUCA","Converse","AMERICAS"
"Brazil","COOPERSHOES-COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA (Morada Nova).","Avenida Vereador Paulo Rabelo de Brito 2065","Morada Nova","62940-000","Ceará","","Footwear","3720","1972","1748","0","","3206","FINISHED GOODS","COOPERSHOES","Converse","AMERICAS"
"Brazil","COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA Garibaldi","Rua Joao Missiaggia 193 Centro","Garibaldi","95720-000","Rio Grande do Sul","","Footwear","65","53","12","0","","54","FINISHED GOODS","COOPERSHOES","Converse","AMERICAS"
"Argentina","COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA Las Flores","Calle El Molino","Las Flores","7200","Buenos Aires","","Footwear","305","107","198","0","","269","FINISHED GOODS","COOPERSHOES","Converse","AMERICAS"
"Brazil","COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (Picada Café)","RUA VICENTE PRIETO, 3581","PICADA CAFE","95175-000","Rio Grande do Sul","","Footwear","896","582","314","0","","575","FINISHED GOODS","COOPERSHOES","Converse","AMERICAS"
"Guatemala","Hoosier Manufacturing","Calzada concepcion 5ta calle 5 26 Zona 6 Ofi","Villa Nueva","01064","Guatemala","","Apparel","3526","2221","1305","0","","3195","FINISHED GOODS","INDIANA KNITWEAR","Nike","AMERICAS"
"China","COSMO TEXTILE CO.,LTD(KNITTING/WOVEN CHINA)","THE THIRD INDUSTRIAL ESTATE","Dongguan","523159","Guangdong","","Footwear","164","49","115","0","","115","MATERIALS","COSMOPOLITAN TEXTILE","Nike","N ASIA"
"China","COSMO TEXTILE CO.,LTD(NON-WOVEN CHINA)","No 45 Xin Yuan Road Yuanhua Town","Haining","314416","Zhejiang","","Footwear","234","87","147","0","","170","MATERIALS","COSMOPOLITAN TEXTILE","Nike","N ASIA"
"China","COSMO TEXTILE CO.,LTD(ZHONGSHAN)","Block 17 to 21 LongzhuYuan, Nanlang Industrial District","Zhongshan","528400","Guangdong","","Footwear","220","22","198","0","","75","MATERIALS","COSMOPOLITAN TEXTILE","Converse","N ASIA"
"Vietnam","COSMO VIETNAM CO.,LTD","Factory 02 and 03  Lot 19 Road 15B Tan Duc Industrial Park","Duc Hoa Dist","82724","Long An","","Footwear","120","24","96","24","","50","MATERIALS","COSMOPOLITAN TEXTILE","Converse","SE ASIA"
"Vietnam","COSMO-E-MART NON-WOVEN COMPANY LIMITED","Road 1 Duc Hoa Ha Industrial Park","Duc Hoa District","850000","Long An","","Footwear","58","2","56","10","","36","MATERIALS","COSMOPOLITAN TEXTILE","Nike","SE ASIA"
"Indonesia","DAEHWA INDONESIA PT (TR1) (INDONESIA)","Bekasi Intl Industrial Estate Block","BEKASI","17550","Jawa Barat","","Footwear","334","104","230","0","","262","MATERIALS","DAEHWA","Nike","S ASIA"
"South Korea","DAERIM TEXTILE CO LTD (KOREA)","14 NOKSANSANDAN 382 RO 14BEON GIL","Busan","46757","Busan Gwangyeogsi","","Footwear","75","16","59","11","","55","MATERIALS","DAERIM TEXTILE","Nike","N ASIA"
"South Korea","DAEWON (KOREA)","868 14 Gyeonggi daero","Osan Si","18111","Gyeonggido","","Footwear","150","0","150","0","","90","MATERIALS","DAEWON","Nike","N ASIA"
"Vietnam","DAEWON CHEMICAL VINA CO., LTD.","ROAD NO5 LONG THANH INDUSTRIAL ZONE TAM AN COMMUNE","LONG THANH","810000","Ðng Nai","","Footwear","374","15","359","0","","192","MATERIALS","DAEWON","Nike","SE ASIA"
"Taiwan","Dah Jeng Embroidery","No 68 Jiuqiong Street Luzhou District","New Taipei City","24750","New Taipei","","Apparel","87","76","11","44","","53","FINISHED GOODS - COMPONENTS","EMBLEM SOURCE","Nike","N ASIA"
"China","Dalian YKK Zipper Co.,Ltd.","No 50 Tieshan West Road","Dalian","116000","Liaoning","","Apparel","2","0","2","2","","1","MATERIALS","YKK","Nike","N ASIA"
"Argentina","DASS ELDORADO SRL","ALBERTO BEJAR BARRIOS 407","ELDORADO","3380","Misiones","","Footwear","66","20","46","2","","66","FINISHED GOODS","DASS","Nike","AMERICAS"
"Brazil","Dass Nordeste Calcados e Artigos Esportivos Ltda","Av Juracy Magalhaes 5100","Vitoria da Conquista","45023-490","Bahia","","Footwear","1443","563","880","0","","1093","FINISHED GOODS","DASS","Nike","AMERICAS"
"Brazil","DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.","Av Juracy Magalhaes","Vitoria da Conquista","45023-490","Bahia","","Apparel","2998","2099","899","0","","1814","FINISHED GOODS","CLASSICO","Nike","AMERICAS"
"Brazil","DASS Nordeste Calcados e Artigos Esportivos LTDA.","RUA PROFESSORA MARIA LIA CELIA VELLAME","SANTO ESTEVAO","44190-000","Bahia","","Footwear","3778","2078","1700","0","","3202","FINISHED GOODS","DASS","Nike","AMERICAS"
"Brazil","DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA","RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO","Ivoti","93900-000","Rio Grande do Sul","","Footwear","40","16","24","0","","40","FINISHED GOODS","DASS","Nike","AMERICAS"
"Brazil","Dass Sul Calcados e Artigos Esportivos Ltda","Marcilio Dias, 10","Saudades","89868-000","Santa Catarina","","Apparel","845","651","194","592","","227","FINISHED GOODS","CLASSICO","Nike","AMERICAS"
"Vietnam","FREETREND INDUSTRIAL A (VIETNAM) CO., LTD","LOT.1-4, 10-13, 26-37, Road no3, Industrial Zone In,","Ho Chi Minh City","70000","Ho Chi Minh","","Footwear","9354","8419","935","0","","8569","FINISHED GOODS","DEAN SHOES","Nike","SE ASIA"
"El Salvador","DECOTEX INTERNATIONAL, Ldta de C.V.","American Industrial Park Block H Calle Canada","Ciudad Arce","Zona 13","La Libertad","","Apparel","2050","1107","943","0","","1679","FINISHED GOODS","TEGRA","Nike","AMERICAS"
"Turkey","Delta Alfa Corap Ve Tekstil Sanayi Tic Ltd Sti","Topcular Mah 623 sok No1 Cilimli Duzce","Duzce","81750","Düzce","","Equipment","730","453","277","0","","449","FINISHED GOODS","DELTA","Nike","EMEA"
"Egypt","Delta Galil Industries LTD Egypt","Delta Textile Shamal El Saeed","El-Minya","61784","AI Minya","","Apparel","2566","2130","436","0","","2245","FINISHED GOODS","DELTA","Nike","EMEA"
"Vietnam","Delta Galil Vietnam Co., Ltd","Phu Kim Village Cat Trinh Commune Phu Cat District","Phu Cat","55000","Bình Ðnh","","Equipment","3063","2297","766","0","","2655","FINISHED GOODS","DELTA","Nike","SE ASIA"
"Israel","Delta Socks Ltd.","INDUSTRIAL ZONE 1 HAYOTZRIM ST","KARMIEL","20100","H_efa","","Equipment","205","123","82","0","","13","FINISHED GOODS","DELTA","Nike","EMEA"
"Bulgaria","DELTA TEXTILE BULGARIA LTD.","71 Tutrakan Blvd","ROUSSE","7009","Ruse","","Equipment","451","352","99","0","","342","FINISHED GOODS","DELTA","Nike","EMEA"
"Argentina","Der Will S.A.","Monsenor de Andrea 3333 Villa de Mayo","Buenos Aires","1614","Buenos Aires","","Apparel","222","135","87","22","","212","FINISHED GOODS","DER WILL","Nike","AMERICAS"
"Italy","DESTRO PAOLO SPA","Viale dell Artigianato 11","PD","35010","Padova","","Equipment","145","51","94","12","","120","FINISHED GOODS","DESTRO","Nike","EMEA"
"Cambodia","Dewhirst Cambodia","Tuorl Pongror Village","Phnom Penh","12101","Kandaal","","Apparel","2600","1872","728","26","","2425","FINISHED GOODS","CASTLECRAFTS","Nike","SE ASIA"
"Italy","Diamant srl","Viale del Lavoro 8","Sorga","37060","Verona","","Footwear","250","175","75","13","","188","FINISHED GOODS","DIAMANT","Nike","EMEA"
"Italy","Diamant srl #2","Via Giorgio Perlasca 6B","MONTEBELLUNA","31044","Veneto","","Footwear","58","47","11","2","","50","FINISHED GOODS","DIAMANT","Nike","EMEA"
"Mexico","DOG STYLE SA DE CV","CARRETERA LEON LAGOS DE MORENO NO 2237","LEON GTO","37690","Guanajuato","","Equipment","371","260","111","0","","330","FINISHED GOODS","DOG STYLE SA","Nike","AMERICAS"
"Vietnam","VIETNAM DONA ORIENT CO., LTD","Song May Industrial Zone Bac Son Ward","Trang Bom","76000","Ðng Nai","","Footwear","10267","6571","3696","0","","9631","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"Vietnam","Dona Pacific Vietnam Co., Ltd.","Song May Industrial Zone Bac Son Villiage","Dong Nai","84061","Ðng Nai","","Footwear","10488","6293","4195","0","","8592","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"Vietnam","Vietnam Dona Standard Footwear Co., Ltd","Xuan Loc Industrial Zone","Xuan Loc","76000","Ðng Nai","","Footwear","23374","15427","7947","0","","20589","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"Vietnam","DONA VICTOR FOOTWEAR CO., LTD","SONG MAY INDUSTRIAL ZONE BAC SON WARD","TRANG BOM DISTRICT","76313","Ðng Nai","","Footwear","11984","8149","3835","0","","9707","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"China","Dong Guan Goldenprene Sporting Goods Co., Ltd.","Summitop Industrial","Liaobu Town, Dongguan","523405","Guangdong","","Equipment","772","517","255","0","","570","FINISHED GOODS","GUANG DER","Nike","N ASIA"
"China","Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch","No 43 XinFeng Road XinMin District ChangAn Town","Dongguan","523879","Guangdong","","Equipment","78","51","27","0","","67","FINISHED GOODS","SUN HING OPTICAL","Nike","N ASIA"
"China","Dongguan leefong label manufacture co ltd.","NO 9 WUSONG ROAD YUWU COMMUNITY","DONGGUAN","523117","Guangdong","","Apparel","475","299","176","0","","406","FINISHED GOODS - COMPONENTS","LEE BOU LABEL ENTERPRISE","Nike","N ASIA"
"China","Dongguan Stella Footwear Product Creation Co., LTD.","Hou Da Road Da Ling Management District","Dongguan","523835","Guangdong","","Footwear","421","232","189","0","","267","FINISHED GOODS","STELLA","Nike","N ASIA"
"China","Dongguan Ye Ji Industrial Co., Ltd.","Room 101 No3 Building No112 Chang Huang Road","DONGGUAN CITY","523570","Guangdong","","Apparel","844","532","312","0","","735","FINISHED GOODS","CRYSTAL","Nike","N ASIA"
"China","Dongguan Youkai Industrial Co., Ltd","Room 501 Building 2 No 11 Dalingshan Hupan Nan Yi Jie","Dongguan","523000","Guangdong","","Equipment","18","4","14","0","","12","FINISHED GOODS","DONGGUAN YOUKAI","Nike","N ASIA"
"Indonesia","DONGJIN (Indonesia)","Artha Industrial Hill","Karawang","41361","Jawa Barat","","Footwear","393","55","338","0","","314","MATERIALS","DONGJIN","Nike","S ASIA"
"South Korea","DONGJIN TEXTILE DYEING HOUSE","#16-13 SINSANRO, SA-HA GU, BUSAN, KOREA","SA-HA GU, BUSAN","49432","Busan Gwangyeogsi","","Footwear","38","6","32","0","","35","FINISHED GOODS - COMPONENTS","DONGJIN","Nike","N ASIA"
"Vietnam","DONGJIN TEXTILE VINA","LOT D8 1 ROAD NO 2","Dong Nai","76123","Ðng Nai","","Footwear","210","74","136","0","","150","MATERIALS","DONGJIN","Nike","SE ASIA"
"Vietnam","DONGJIN TEXTILE VINA Co., Ltd ","Lot D 8 1 Road No 2","Dong Nai Province","76000","Ðng Nai","","Footwear","440","119","321","22","","379","MATERIALS","DONGJIN","Nike","SE ASIA"
"South Korea","DUCKSAN ","76 Opoanro Opoeup","Gyeonggi-do","12774","Gyeonggido","","Footwear","29","13","16","2","","24","FINISHED GOODS - COMPONENTS","DUCKSAN","Nike","N ASIA"
